(Parent) ASIN,(Child) ASIN,Title,Sessions - Mobile App,Sessions - Browser,Sessions - Total,Session Percentage - Mobile App,Session Percentage - Browser,Session Percentage - Total,Page Views - Mobile App,Page Views - Browser,Page Views - Total,Page Views Percentage - Mobile App,Page Views Percentage - Browser,Page Views Percentage - Total,Featured Offer Percentage,Units Ordered,Unit Session Percentage,Ordered Product Sales,Total Order Items,Date
B0CH7YYP45,B0CH7YYP45,Pure Tree Certified Organic Wheat MP Sehori | 850 g | Sharbati Wheat Whole | Wheat Sihore Gehu | Gehu Whole Wheat Grains | Whole Wheat Organic MP Sharbati Wheat,4,2,6,0.0023,0.0038,0.0027,5,4,9,0.002,0.0035,0.0025,0.625,0,0,₹0.00,0,12-05-2025
B0CH81GHBG,B0CH81GHBG,Pure Tree Certified Organic Ragi Whole | 1800 g | Finger Millet | Nachni | Nagli | Ragi Millet Gluten-Free | Bavto | Red Finger Millet | Ragi Whole Grain,1,1,2,0.0006,0.0019,0.0009,1,1,2,0.0004,0.0009,0.0006,1,0,0,₹0.00,0,12-05-2025
B0CH84CHCL,B0CH84CHCL,Pure Tree Certified Organic Khapli Whole Wheat | 1.8 Kg | Sambu Wheat | Emmer Khapli Grain | Desi Gehu Whole Grain,8,5,13,0.0046,0.0096,0.0058,16,7,23,0.0065,0.0061,0.0064,1,0,0,₹0.00,0,12-05-2025
B0CLS6H2H9,B0CLS6H2H9,Pure Tree Certified Organic Basmati White Rice | 850 g | Long Grain Biryani Rice | Raw Unpolished Daily Basmati Gluten Free Rice,0,1,1,0,0.0019,0.0004,0,1,1,0,0.0009,0.0003,1,0,0,₹0.00,0,12-05-2025
B0CLTXHTKP,B0CLTXHTKP,Pure Tree Certified Organic Idli Rice | 1.8 Kg / 1800 g | Idly Chawal | Raw Unpolished Parboiled South Indian Rice | Gluten Free,0,1,1,0,0.0019,0.0004,0,2,2,0,0.0017,0.0006,1,0,0,₹0.00,0,12-05-2025
B0CMH3KMXR,B0CMH3KMXR,Naturtint Permanent Hair Colour Gel Medium Brown 4N|For Optimal Scalp Care| Upto 100% Grey Coverage | Long Lasting Hair Colour | Ammonia Free Vegan| No Parabens| Enriched with Olives & Organic Shea Butter,19,2,21,0.011,0.0038,0.0093,30,2,32,0.0123,0.0017,0.0089,0,0,0,₹0.00,0,12-05-2025
B0CNR81WRV,B0CNR81WRV,Pure Tree Certified Organic Laung Powder | 60 Gm | Glass Jar | Organic Clove Powder | Lavang Powder | Aromatic & Flavorful Ground Clove Spice | Dried Cloves Masala | Lavangam,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0CQ2HNQF4,B0CQ2HNQF4,Naturtint Permanent Hair Colour Gel Mahogany Brown 4M | For Optimal Scalp Care | Long Lasting Hair Colour | Ammonia Free Vegan | No Parabens | Enriched with Olives & Organic Shea Butter,8,1,9,0.0046,0.0019,0.004,9,1,10,0.0037,0.0009,0.0028,1,0,0,₹0.00,0,12-05-2025
B0CQ2NKCZY,B0CQ2NKCZY,Naturtint Permanent Hair Colour Gel Golden Brown 4G | For Optimal Scalp Care | Long Lasting Hair Colour | Ammonia Free Vegan | No Parabens | Enriched with Olives & Organic Shea Butter,13,1,14,0.0075,0.0019,0.0062,14,1,15,0.0057,0.0009,0.0042,1,0,0,₹0.00,0,12-05-2025
B0CV9JLYH6,B0CV9JLYH6,"Pure Tree Certified Organic Saunf Powder | Fennel Seed Powder Organic | Variyali Powder | Sompu Powder | Saunf Powder Gluten Free & Flavourful, 100 gram",1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0CX577XNJ,B0CX577XNJ,Pure Tree Certified Organic Jeera Seeds | 850 g | Cumin Seeds | Sabut Jeera | Jeera Whole Spices | Jeelakarra | Zeera | Organic Spices | Boost Immunity | For Curries & Veg,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0CZRYW3FN,B0CZRYW3FN,"Pure Tree Certified Organic Foxtail Millet Flour | 850 g | Kangni Millet Flour | Unpolished Millets Atta | Gluten Free Atta | Organic MIllet Flour For Roti, Chapati & Idlis etc",0,1,1,0,0.0019,0.0004,0,1,1,0,0.0009,0.0003,1,0,0,₹0.00,0,12-05-2025
B0D1QFVQGP,B0D1QFVQGP,Pure Tree Certified Organic Kashmiri Red Chilli Powder | 250 Gram | Kashmiri Lal Mirch Powder | Organic Red Chilli Powder | Kashmiri Laal Mirch Gives Vibrant Red Color & Mild Heat To Your Dishes,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0D4R2N2WG,B0D4R2N2WG,Pure Tree Certified Organic Browntop Millet Flour | 850 g | Hari Kangni Atta | Korale | Kula Saamai Unpolished Millet Flour,0,1,1,0,0.0019,0.0004,0,1,1,0,0.0009,0.0003,1,0,0,₹0.00,0,12-05-2025
B0DDPHSB64,B0DDPHSB64,"Pure Tree Certified Organic Kashmiri Red Chilli Flakes|Glass Jar|Crushed Red Pepper Flakes|Organic Red Pepper Flakes Chili for Seasoning for Pizza & Salad|Dry Kashmiri Red Chilli Flakes,40 gram",2,0,2,0.0012,0,0.0009,2,0,2,0.0008,0,0.0006,1,0,0,₹0.00,0,12-05-2025
B0DHCXQ1JM,B0DHCXQ1JM,Naturtint Permanent Hair Colour Gel Burgundy 3NV | For Optimal Scalp Care | Long Lasting Hair Colour | Ammonia Free Vegan | No Parabens | Enriched with Olives & Organic Shea Butter - (Pack of 2),2,0,2,0.0012,0,0.0009,2,0,2,0.0008,0,0.0006,1,0,0,₹0.00,0,12-05-2025
B0DHCYX1MJ,B0DHCYX1MJ,Naturtint Permanent Hair Colour Gel Medium Brown 4N|For Optimal Scalp Care| Upto 100% Grey Coverage | Long Lasting Hair Colour | Ammonia Free Vegan| No Parabens| Enriched with Olives & Organic Shea Butter - Pack of 2,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0DHCZ72TR,B0DHCZ72TR,Naturtint Permanent Hair Colour Dark Brown 3N | For Optimal Scalp Care| 100% Grey Coverage | Long Lasting Hair Colour | Ammonia Free Vegan | No Parabens | Enriched with Olives & Organic Shea Butter - Pack of 2,2,2,4,0.0012,0.0038,0.0018,2,3,5,0.0008,0.0026,0.0014,1,0,0,₹0.00,0,12-05-2025
B0DHCZF643,B0DHCZF643,Naturtint Permanent Hair Colour Gel Black Natural 1N| For Optimal Scalp Care| 100% Grey Coverage | Long Lasting Hair Colour | Ammonia Free Vegan | No Parabens | Enriched with Olives & Organic Shea Butter - Pack of 3,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0DHCZYDJQ,B0DHCZYDJQ,Naturtint Permanent Hair Colour Dark Brown 3N | For Optimal Scalp Care| 100% Grey Coverage | Long Lasting Hair Colour | Ammonia Free Vegan | No Parabens | Enriched with Olives & Organic Shea Butter - Pack of 3,0,1,1,0,0.0019,0.0004,0,1,1,0,0.0009,0.0003,1,0,0,₹0.00,0,12-05-2025
B0DHD1MD6X,B0DHD1MD6X,Naturtint Permanent Hair Colour Gel Medium Brown 4N|For Optimal Scalp Care| Upto 100% Grey Coverage | Long Lasting Hair Colour | Ammonia Free Vegan| No Parabens| Enriched with Olives & Organic Shea Butter - Pack of 3,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0DHD2DMJB,B0DHD2DMJB,Naturtint Permanent Hair Colour Gel Burgundy 3NV | For Optimal Scalp Care | Long Lasting Hair Colour | Ammonia Free Vegan | No Parabens | Enriched with Olives & Organic Shea Butter - Pack of 3,0,1,1,0,0.0019,0.0004,0,1,1,0,0.0009,0.0003,1,0,0,₹0.00,0,12-05-2025
B0DPCFFVDK,B0DPCFFVDK,Pure Tree Certified Organic Jaggery Cubes Small | 1800 g | Gur Cubes Small | Desi Gud Jaggery Cubes Desi Jaggery Gud - Sugarcane Jaggery For Tea | Organic Gud from Jaggery Block (No Preservatives),5,3,8,0.0029,0.0057,0.0035,9,3,12,0.0037,0.0026,0.0033,1,0,0,₹0.00,0,12-05-2025
B0DPFVH1J5,B0DPFVH1J5,Pure Tree Certified Organic Carom Seeds | 350 g | Ajwain Seeds | Omam | Vamu | Ajowan | Ayamodakam Seeds Rich In Antioxidants,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0DPHBFVPH,B0DPHBFVPH,Pure Tree Certified Organic Dalchini Whole | 350 g | Dalchini Cinnamon Stick Organic | Cinnamon Bark | Spices Whole | Garam Masala | Sweet Aroma & Flavour,1,0,1,0.0006,0,0.0004,3,0,3,0.0012,0,0.0008,1,0,0,₹0.00,0,12-05-2025
B0DPKBN2XR,B0DPKBN2XR,Pure Tree Certified Organic Magaj Seeds | 400 g | Glass Jar | Watermelon Seeds | Tarbuj Ke Beej | Organic Seeds for Eating Rich in Protein & Fiber | High In Fiber,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,12-05-2025
B0DPQ5WLRL,B0DPQ5WLRL,"Pure Tree Certified Organic Chaat Masala Powder | 80 g | Glass Jar | Salad, Raita Masala | Indian Masala | Flavorful Spice Blend | Chat Masala",0,1,1,0,0.0019,0.0004,0,1,1,0,0.0009,0.0003,1,0,0,₹0.00,0,12-05-2025
B0DTHVKBVQ,B0DTHVKBVQ,Pure Tree Certified Organic Khapli Whole Wheat | 5 Kg | Sambu Wheat | Emmer Khapli Grain | Desi Gehu Whole Grain,1,1,2,0.0006,0.0019,0.0009,1,1,2,0.0004,0.0009,0.0006,0,0,0,₹0.00,0,12-05-2025
B0DTHW7WQ6,B0DTHW7WQ6,Pure Tree Certified Organic Freshly Milled Khapli Wheat Flour | 5 Kg | Emmer Flour | Organic Farro Flour | Khapli Wheat Flour | Khapli Gehu ka Aata Rich In Fiber | Low Gluten,5,1,6,0.0029,0.0019,0.0027,5,1,6,0.002,0.0009,0.0017,0.8333,0,0,₹0.00,0,12-05-2025
