"ID","SKU","Title","Rack Id","Quantity","Expiry Date","MRP","isFBA"
"170768","PTC0011","Pure Tree - Organic Whole Seeds - Chia, Flax (Alsi) - 75gms each Combo Pack in Glass Bottle","R12","1","-","180.00",""
"170769","PTC0012","Pure Tree - Organic Whole Seeds - Pumpkin, Sunflower, Watermelon (Magaj), Chia, Flax (Alsi) - 75gms each Combo Pack in Glass Bottle","R13","1","-","575.00",""
"170765","PTC008","Pure Tree - Organic Whole Seeds - Chia, Flax (Alsi) - 75gms each Combo Pack in Brown Pouch","R13","1","-","155.00",""
"172694","PTD0015-000500BP","Green Gram Whole (Moong Sabut) | 500 g | Brown Pouch","N21","1","-","95.00",""
"172699","PTD0017-001000BP","Red Rajma (Kidney Beans) | 1000 g | Brown Pouch","B45","1","-","220.00",""
"174558","PTD0035-000100BP","Flax Seeds (Alsi) | 100 g | Brown Pouch","N21","1","-","35.00",""
"172739","PTD0039-001000BP","Urad Dal Split with Skin | 1000 g | Brown Pouch","N11","1","-","185.00",""
"172752","PTD0044-000250BP","Cumin Seeds (Jeera) | 250 g | Brown Pouch","N21","1","-","145.00",""
"175324","PTD0057-000100BP","Pumpkin Seeds | 100 g | Brown Pouch","N21","1","-","125.00",""
"175325","PTD0058-000100BP","Sunflower Seeds | 100 g | Brown Pouch","N21","1","-","65.00",""
"172825","PTD0092-001000BP","Proso Millet (Chena / Barri) | 1000 g | Brown Pouch","N15","1","-","190.00",""
"174487","PTD0101-000100BP","Sesame (White Til) | 100 g | Brown Pouch","N21","1","-","50.00",""
"176131","PTGB-BSC03","Festive Gift Box Pure Tree-Includes 3 Product, Blue Spiral Curls Design","A18","12","10/31/2027","22371.00",""
"176123","PTGB-GM003","Festive Gift Box Pure Tree-Includes 3 Product, Green Mandala Design","A18","12","10/31/2027","24622.00",""
"176130","PTGB-GP003","Festive Gift Box Pure Tree-Includes 3 Product, Golden Petals Design","A18","12","10/31/2027","21667.00",""
"176125","PTGB-GR003","Festive Gift Box Pure Tree-Includes 3 Product, Golden Rose Design","A18","12","10/31/2027","23356.00",""
"176127","PTGB-NDM03","Festive Gift Box Pure Tree-Includes 3 Product, Navy Damascus Motif Design","A18","12","10/31/2027","708585.00",""
"176128","PTGB-PM003","Festive Gift Box Pure Tree-Includes 3 Product, Purple Maple Design","A18","12","10/31/2027","743150.00",""
"176124","PTGB-PR003","Festive Gift Box Pure Tree-Includes 3 Product, Peach Rose Design","A18","12","10/31/2027","20964.00",""
"176129","PTGB-RWM03","Festive Gift Box Pure Tree-Includes 3 Product, Red & White Mandana Design","A18","12","10/31/2027","764753.00",""
"176126","PTGB-SB003","Festive Gift Box Pure Tree-Includes 3 Product, Sky Blue Paisley Design","A12","4","-","518477.00",""
"176126","PTGB-SB003","Festive Gift Box Pure Tree-Includes 3 Product, Sky Blue Paisley Design","A18","8","-","518477.00",""
"175409","PTH0003-000150PP","Cinnamon Powder (Dalchini) | 150 g | Plastic Pouch","N11","1","-","80.00",""
"175507","PTH0040-000100PP","Chia Seeds | 100 g | Plastic Pouch","N21","1","-","40.00",""
"175700","PTH0107-000250PP","Almond (Badam) | 250 g | Plastic Pouch","N21","1","-","230.00",""
"176695","PTLabelMF100mm30mts3core","Matt Finish Film Roll - 3"" Core Size: 100mm X 50mtr","PM","16","-","2.00",""
"176694","PTLabelMF50mm30mts1core","Matt Finish Film Roll - 1"" Core  Size: 50mm X 30 mtr","PM","11","-","5.00",""
"173541","PTTape3in65m","Pure Tree Milky White Tape, 3'' 65MTRS x 38 MiC x 72 mm","PM","79","-","812.00",""
"173543","SealedBoppTape2in65m","Sealed Printed Tap to Prevent Leaking Tape ""2 ,x 38 mic x 48 mm","PM","84","-","509.00",""
"176725","SIS00089","PRE-SEED PERSONAL LUBRICANT 40g TUBE + 9 APPLICATORS","B19","99","01/31/2027","2300.00",""
"172614","T1000SkuLabel2x1","All Barcode Labels-1000L Thermal Size 58X32","PM","40","-","108.00",""
"172615","T400ShippingLabel4x6","Shipping Labels X 400 (100mmx150mm = 400L)","PM","5","-","235.00",""
"169131","TA07YD5M4EZ7","Black Opal Even True Flawless Liquid Foundation - 340 Truly Topaz - 1 fl oz","D62","1","04/30/2025","3135.00",""
"172887","TA27X91X8JGN","Facetory Moon Velvet Sleeping Mask with Shea Butter and Azulene - 1.69 fl oz","D62","1","04/30/2026","6370.00",""
"172657","TA27X956OYEN","Naturium Mandelic Topical Acid 12% - 1 fl oz","D62","1","03/31/2025","5250.00",""
"167146","TA37PJV04667","BRITE Naturally Henna Hair Dye Dark Brown - 2.53 fl oz","D62","2","08/31/2025","3110.00",""
"167947","TA3R84L9X527","Unscented Hand and Body Lotion - 20 fl oz - Smartly™","D66","1","02/28/2026","2472.00",""
"168817","TA3R8EQ86G1N","COVERGIRL Outlast Extreme Wear Pressed Powder - Classic Ivory 810 - 0.38oz","D62","1","12/31/2025","2860.00",""
"168790","TA4R19520137","Palmer's Cocoa Butter Formula Massage Lotion for Stretch Marks - 8.5oz","D66","1","06/30/2025","2970.00",""
"172874","TA4R1L91YXGR","Billion Dollar Beauty Waterproof Brow Pomade - Light Brown - 0.035oz","D62","1","04/30/2026","1400.00",""
"167472","TA4R1L9JP8QR","Pacifica Wake Up Beautiful Overnight Retinol Cream - 1.7 fl oz","D62","1","10/31/2025","7860.00",""
"167626","TA4RZD0LJ247","Schwarzkopf Simply Color Permanent Hair Color - 4.68 Chocolate Cherry  - 5.7 fl oz","D66","2","10/11/2025","3465.00",""
"170592","TA4RZKZ8EE3R","Naturium Vitamin C Complex Serum - 1 fl oz","D62","1","12/31/2025","5745.00",""
"172562","TA57G2X5E1Z7","Not Your Mother's Blonde Moment Purple Conditioner - 8 fl oz","B23","1","03/31/2026","3220.00",""
"171537","TA6R4L2J5P6R","Pixi By Petra Large Lash Mascara - Best Brown - 0.25oz","D62","1","12/31/2025","4270.00",""
